instrument_token,tradingsymbol,name,exchange
50982660,DSPGINAV,INAVDSP MUTUAL FUND,BSE
50982916,MASIINAV,INAVMIRAE ASSET MUTUAL FUND,BSE
50983172,DSPIINAV,INAVDSP MUTUAL FUND,BSE
50983428,BANKINAV,INAVMIRAE ASSET MUTUAL FUND,BSE
50983684,LIQUINAV,,BSE
50983940,DSPPINAV,INAVDSP MUTUAL FUND,BSE
50984196,DSPSINAV,INAVDSP MUTUAL FUND,BSE
50984452,DSPP01INAV,INAVDSP MUTUAL FUND01,BSE
50984708,ICIC03INAV,INAVICICI PRUDENTIAL MUTUAL 03,BSE
50984964,HDFC03INAV,,BSE
50985220,NIFMINAV,INAVUTI MUTUAL FUND,BSE
50985476,NAVIINAV,INAVNAVI MUTUAL FUND,BSE
50985732,SENSINAV,INAVMIRAE ASSET MUTUAL FUND,BSE
50985988,ALPHINAV,INAVMIRAE ASSET MUTUAL FUND,BSE
50986244,ITETINAV,INAVMIRAE ASSET MUTUAL FUND,BSE
50986500,LIQU01INAV,,BSE
50986756,BBNPINAV,INAVBARODA BNP PARIBAS MUTUA,BSE
50987012,LIQU02INAV,,BSE
50987268,BANK01INAV,INAVBAJAJ FINSERV MUTUAL FUN01,BSE
50987524,NIFTINAV,INAVBAJAJ FINSERV MUTUAL FUN,BSE
50987780,NIFIINAV,INAVUTI MUTUAL FUND,BSE
50988036,NIF1INAV,,BSE
50988292,NIF5INAV,,BSE
50988548,HEALINAV,INAVDSP MUTUAL FUND,BSE
50988804,HDFC04INAV,INAVHDFC MUTUAL FUND04,BSE
50989060,LICNINAV,INAVLIC MUTUAL FUND,BSE
50989316,SMALINAV,INAVMIRAE ASSET MUTUAL FUND,BSE
50989572,GOLDINAV,INAVZERODHA MUTUAL FUND,BSE
50989828,LIQU03INAV,,BSE
50990084,MIDSINAV,INAVMIRAE ASSET MUTUAL FUND,BSE
50990340,LIQU04INAV,,BSE
50990596,TOP1INAV,INAVZERODHA MUTUAL FUND,BSE
50990852,MID1INAV,INAVZERODHA MUTUAL FUND,BSE
50991108,BBNP01INAV,INAVBARODA BNP PARIBAS MUTUA01,BSE
50991364,SBISINAV,INAVSBI MUTUAL FUND,BSE
50991620,LIQU05INAV,,BSE
50991876,ABGSINAV,,BSE
50992132,EVININAV,INAVMIRAE ASSET MUTUAL FUND,BSE
50992388,SBININAV,INAVSBI MUTUAL FUND,BSE
50992644,OILIINAV,INAVICICI PRUDENTIAL MUTUAL,BSE
50992900,ABSL01INAV,INAVADITYA BIRLA SUN LIFE MU01,BSE
50993156,GSECINAV,,BSE
50993412,METAINAV,INAVICICI PRUDENTIAL MUTUAL,BSE
50993668,MULTINAV,INAVMIRAE ASSET MUTUAL FUND,BSE
50993924,TOP101INAV,INAVDSP MUTUAL FUND01,BSE
50994180,BANK02INAV,INAVMIRAE ASSET MUTUAL FUND02,BSE
50994436,META01INAV,INAVMIRAE ASSET MUTUAL FUND01,BSE
50994692,VAL3INAV,INAVICICI PRUDENTIAL MUTUAL,BSE
50994948,LIQU06INAV,,BSE
50995204,CONSINAV,INAVMIRAE ASSET MUTUAL FUND,BSE
50995460,ECAPINAV,INAVEDELWEISS MUTUAL FUND,BSE
50995716,NEXTINAV,INAVDSP MUTUAL FUND,BSE
50995972,UNIOINAV,INAVUNION MUTUAL FUND,BSE
50996228,GOLD01INAV,INAV360 ONE MUTUAL FUND01,BSE
50996484,SELEINAV,INAVMIRAE ASSET MUTUAL FUND,BSE
50996740,EQUAINAV,INAVMIRAE ASSET MUTUAL FUND,BSE
50996996,CASHINAV,,BSE
50997252,AXIS01INAV,INAVAXIS MUTUAL FUND01,BSE
50997508,SILV01INAV,INAVZERODHA MUTUAL FUND01,BSE
50997764,SBIBINAV,INAVSBI MUTUAL FUND,BSE
50998020,SILV02INAV,INAV360 ONE MUTUAL FUND02,BSE
50998276,EVIEINAV,INAVICICI PRUDENTIAL MUTUAL,BSE
50998532,EQUA01INAV,INAVMIRAE ASSET MUTUAL FUND01,BSE
128000516,ABB,ABB INDIA,BSE
128000772,AEGISLOG,AEGIS LOGISTICS,BSE
128002052,ARE&M,AMARA RAJA ENERGY & MOBILITY L,BSE
128002308,AMBALALSA,AMBALAL SARABHAI ENTERPRISES L,BSE
128003076,ANDHRAPET,ANDHRA PETROCHEMICALS,BSE
128003332,ANSALAPI,ANSAL PROPERTIES & INFRASTRUCT,BSE
128003588,UTIQUE,UTIQUE ENTERPRISES,BSE
128004100,ARUNAHTEL,ARUNA HOTELS,BSE
128005124,BOMDYEING,BOMBAY DYEING & MFG.CO.LTD.,BSE
128005892,ASIANHOTNR,ASIAN HOTELS (NORTH),BSE
128006916,ATUL,ATUL,BSE
128007172,ATVPR,ATV PROJECTS INDIA,BSE
128007940,BAJAJELEC,BAJAJ ELECTRICALS,BSE
128008196,BAJAJHIND,BAJAJ HINDUSTHAN SUGAR,BSE
128008452,FORCEMOT,FORCE MOTORS,BSE
128008708,BAJFINANCE,BAJAJ FINANCE,BSE
128009732,BALRAMCHIN,BALRAMPUR CHINI MILLS,BSE
128009988,BANCOINDIA,BANCO PRODUCTS (INDIA),BSE
128010244,ABREL,ADITYA BIRLA REAL ESTATE LIMIT,BSE
128010500,BANARISUG,BANNARI AMMAN SUGARS,BSE
128010756,BASF,BASF INDIA,BSE
128011012,BATAINDIA,BATA INDIA,BSE
128012292,BEML,BEML,BSE
128012548,BEL,BHARAT ELECTRONICS,BSE
128013316,BEPL,BHANSALI ENGINEERING POLYMERS,BSE
128014852,BIHSPONG,BIHAR SPONGE IRON,BSE
128015108,BINANIIND,BINANI INDUSTRIES,BSE
128015364,BIRLACABLE,BIRLA CABLE ,BSE
128017156,BLUESTARCO,BLUE STAR,BSE
128017412,DISAQ,DISA INDIA,BSE
128017668,QUESTCAP,QUEST CAPITAL MARKETS,BSE
128018948,BPL,BPL,BSE
128019972,OAL,ORIENTAL AROMATICS,BSE
128021252,CENTEXT,CENTURY EXTRUSIONS,BSE
128021508,CESC,CESC,BSE
128021764,CHAMBLFERT,CHAMBAL FERTILISERS & CHEMICAL,BSE
128022020,EXIDEIND,EXIDE INDUSTRIES,BSE
128022276,CIPLA,CIPLA,BSE
128022788,DICIND,DIC INDIA,BSE
128023556,CRISIL,CRISIL,BSE
128023812,CGPOWER,CG POWER AND INDUSTRIAL SOLUTI,BSE
128024580,DABUR,DABUR INDIA,BSE
128024836,DALMIASUG,DALMIA BHARAT SUGAR AND INDUST,BSE
128025860,ARVIND,ARVIND,BSE
128026372,BHEL,BHARAT HEAVY ELECTRICALS,BSE
128026628,HINDPETRO,HINDUSTAN PETROLEUM CORPORATIO,BSE
128027140,IFCI,IFCI,BSE
128027652,MTNL,MAHANAGAR TELEPHONE NIGAM,BSE
128027908,MRPL,MANGALORE REFINERY & PETROCHEM,BSE
128028164,CHENNPETRO,CHENNAI PETROLEUM CORPORATION,BSE
128028676,SBIN,STATE BANK OF INDIA,BSE
128028932,SAIL,STEEL AUTHORITY OF INDIA,BSE
128029188,TITAN,TITAN COMPANY,BSE
128029700,IDBI,IDBI BANK,BSE
128029956,DCW,DCW,BSE
128030468,DHAMPURSUG,DHAMPUR SUGAR MILLS,BSE
128030724,DIAMINESQ,DIAMINES & CHEMICALS,BSE
128031492,ELANTAS,ELANTAS BECK INDIA,BSE
128031748,DRREDDY,DR.REDDYS LABORATORIES,BSE
128032004,EIDPARRY,E.I.D.-PARRY (INDIA),BSE
128032260,PGHL,PROCTER & GAMBLE HEALTH LIMITE,BSE
128032772,ELECTCAST,ELECTROSTEEL CASTINGS,BSE
128034052,ESABINDIA,ESAB INDIA,BSE
128034564,EPL,EPL,BSE
128034820,ESTER,ESTER INDUSTRIES,BSE
128036356,FGP,FGP,BSE
128036612,PHCAP,PH CAPITAL,BSE
128036868,FINCABLES,FINOLEX CABLES,BSE
128037636,COCKERILL,JOHN COCKERILL INDIA,BSE
128037892,UFLEX,UFLEX,BSE
128038404,FOSECOIND,FOSECO INDIA,BSE
128038660,GOLDENTOBC,GOLDEN TOBACCO,BSE
128039172,GANESHBE,GANESH BENZOPLAST,BSE
128040708,METROGLOBL,METROGLOBAL,BSE
128040964,GTL,GTL,BSE
128041732,GODFRYPHLP,GODFREY PHILLIPS INDIA,BSE
128041988,GODREJIND,GODREJ INDUSTRIES,BSE
128042244,KANSAINER,KANSAI NEROLAC PAINTS,BSE
128042500,GOODRICKE,GOODRICKE GROUP,BSE
128043012,GOODYEAR,GOODYEAR INDIA,BSE
128043524,GTNINDS,GTN INDUSTRIES,BSE
128043780,GHCL,GHCL,BSE
128044292,GFLLIMITED,GFL,BSE
128044548,GLFL,GUJARAT LEASE FINANCING,BSE
128045828,HCL-INSYS,HCL INFOSYSTEMS,BSE
128046084,HDFCBANK,HDFC BANK,BSE
128046596,HEROMOTOCO,HERO MOTOCORP,BSE
128046852,HFCL,HFCL,BSE
128047108,HSCL,HIMADRI SPECIALITY CHEMICAL LT,BSE
128047364,HCC,HINDUSTAN CONSTRUCTION CO.LTD.,BSE
128047620,HINDOILEXP,HINDUSTAN OIL EXPLORATION CO.L,BSE
128047876,AGI,AGI GREENPAC,BSE
128048132,HINDZINC,HINDUSTAN ZINC,BSE
128048388,NDLVENTURE,NDL VENTURES ,BSE
128048900,HMT,HMT,BSE
128049156,PRAGBOS,PRAG BOSIMI SYNTHETICS,BSE
128049412,HLVLTD,HLV,BSE
128050948,IGPL,I G PETROCHEMICALS,BSE
128051460,INDIAGLYCO,INDIA GLYCOLS,BSE
128051716,INDLEASE,INDIA LEASE DEVELOPMENT,BSE
128052740,MARGOFIN,MARGO FINANCE,BSE
128052996,INDORAMA,INDO RAMA SYNTHETICS (INDIA) L,BSE
128053508,INFY,INFOSYS,BSE
128053764,INGERRAND,INGERSOLL-RAND (INDIA),BSE
128054532,ITHL,INTERNATIONAL TRAVEL HOUSE,BSE
128054788,IONEXCHANG,ION EXCHANGE (INDIA),BSE
128055044,SUNDROP,SUNDROP BRANDS,BSE
128056068,JISLJALEQS,JAIN IRRIGATION SYSTEMS,BSE
128056324,JASCH,JASCH INDUSTRIES,BSE
128058116,JINDALPOLY,JINDAL POLY FILMS,BSE
128058372,JSWSTEEL,JSW STEEL,BSE
128059140,UMANGDAIRY,UMANG DAIRIES,BSE
128059652,KAJARIACER,KAJARIA CERAMICS,BSE
128059908,KAKATCEM,KAKATIYA CEMENT SUGAR & INDUST,BSE
128060164,KSL,KALYANI STEELS,BSE
128060932,WHIRLPOOL,WHIRLPOOL OF INDIA,BSE
128061188,KGDENIM,KG DENIM,BSE
128061444,KINETICENG,KINETIC ENGINEERING,BSE
128061700,KIRLOSBROS,KIRLOSKAR BROTHERS,BSE
128062212,KIRLOSIND,KIRLOSKAR INDUSTRIES,BSE
128062724,KIRLFER,KIRLOSKAR FERROUS INDUSTRIES L,BSE
128062980,ENVAIREL,ENVAIR ELECTRODYNE,BSE
128063236,KOTAKBANK,KOTAK MAHINDRA BANK,BSE
128063492,KRIFILIND,KRISHNA FILAMENT INDUSTRIES LI,BSE
128063748,KSB,KSB,BSE
128064004,LGBBROSLTD,L.G.BALAKRISHNAN & BROS.LTD.,BSE
128064260,TRENT,TRENT,BSE
128064516,LMW,LMW ,BSE
128064772,LICHSGFIN,LIC HOUSING FINANCE,BSE
128065796,LUPIN,LUPIN,BSE
128066308,LYKALABS,LYKA LABS,BSE
128066564,RAMCOCEM,THE RAMCO CEMENTS,BSE
128067076,HYBRIDFIN,HYBRID FINANCIAL SERVICES LIMI,BSE
128067588,MAFATIND,MAFATLAL INDUSTRIES,BSE
128067844,MAHSEAMLES,MAHARASHTRA SEAMLESS,BSE
128068100,MAHSCOOTER,MAHARASHTRA SCOOTERS,BSE
128068356,MAJESAUT,MAJESTIC AUTO,BSE
128068612,MANALIPETC,MANALI PETROCHEMICAL,BSE
128069124,BARODARY,BARODA RAYON CORPORATION,BSE
128069380,MFSL,MAX FINANCIAL SERVICES ,BSE
128070916,MIDINDIA,MID INDIA INDUSTRIES,BSE
128071428,MIRCELECTR,MIRC ELECTRONICS,BSE
128071684,CENTENKA,CENTURY ENKA,BSE
128072196,MODTHREAD,MODERN THREADS (INDIA),BSE
128072708,LORDSCHLO,LORDS CHLORO ALKALI,BSE
128072964,SPICEJET,SPICEJET,BSE
128073732,MOREPENLAB,MOREPEN LABORATORIES,BSE
128074244,MRF,MRF,BSE
128074756,HEIDELBERG,HEIDELBERGCEMENT INDIA,BSE
128075268,NCC,NCC,BSE
128075524,VEDL,VEDANTA,BSE
128075780,NAHARSPING,NAHAR SPINNING MILLS,BSE
128076292,NAPEROL,NAPEROL INVESTMENTS ,BSE
128076804,GRASIM,GRASIM INDUSTRIES,BSE
128077316,PEL,PIRAMAL ENTERPRISES,BSE
128077828,NIITLTD,NIIT,BSE
128078340,JAYKAY,JAYKAY ENTERPRISES ,BSE
128078596,NIRLON,NIRLON,BSE
128079876,ONGC,OIL AND NATURAL GAS CORPORATIO,BSE
128080132,OILCOUNTUB,OIL COUNTRY TUBULAR,BSE
128080388,ORIENTHOT,ORIENTAL HOTELS,BSE
128081156,OSWALAGRO,OSWAL AGRO MILLS,BSE
128081668,INDSUCR,INDIAN SUCROSE,BSE
128082436,PANCM,PANYAM CEMENTS & MINERAL INDUS,BSE
128083204,RELIANCE,RELIANCE INDUSTRIES,BSE
128083716,PILITA,PIL ITALICA LIFESTYLE ,BSE
128084484,RAYMOND,RAYMOND,BSE
128084740,PIDILITIND,PIDILITE INDUSTRIES,BSE
128085252,PIXTRANS,PIX TRANSMISSIONS,BSE
128085764,BIRLACORPN,BIRLA CORPORATION,BSE
128086020,SURYAROSNI,SURYA ROSHNI,BSE
128086276,PRIMESECU,PRIME SECURITIES,BSE
128086532,PRSMJOHNSN,PRISM JOHNSON,BSE
128086788,RAIN,RAIN INDUSTRIES,BSE
128087556,PRUDMOULI,PRUDENTIAL SUGAR CORPORATION L,BSE
128087812,AMJLAND,AMJ LAND HOLDINGS,BSE
128088580,PUNJCOMMU,PUNJAB COMMUNICATIONS,BSE
128089604,RSWM,RSWM,BSE
128090628,RAJSREESUG,RAJSHREE SUGARS & CHEMICALS LT,BSE
128090884,RALLIS,RALLIS INDIA,BSE
128091140,RAMANEWS,SHREE RAMA NEWSPRINT,BSE
128091396,RAMAPPR-B,RAMA PAPER MILLS,BSE
128091652,RAMAPETRO,RAMA PETROCHEMICALS,BSE
128092164,RAPICUT,RAPICUT CARBIDES,BSE
128093444,WELSPLSOL,WELSPUN SPECIALTY SOLUTIONS LI,BSE
128093700,ROLTA,ROLTA INDIA,BSE
128093956,RUBFILA,RUBFILA INTERNATIONAL,BSE
128094212,PATANJALI,PATANJALI FOODS ,BSE
128094724,SALORAINTL,SALORA INTERNATIONAL,BSE
128096772,JINDALSAW,JINDAL SAW,BSE
128097284,JKLAKSHMI,JK LAKSHMI CEMENT,BSE
128099076,SHREECEM,SHREE CEMENT,BSE
128099332,SKPMIL,SHREE KRISHNA PAPER MILLS & IN,BSE
128099588,SILVERLINE,SILVERLINE TECHNOLOGIES,BSE
128099844,RELINFRA,RELIANCE INFRASTRUCTURE,BSE
128102404,TATAPOWER,TATA POWER CO.LTD.,BSE
128102916,SPMLINFRA,SPML INFRA,BSE
128103172,SUNDRMFAST,SUNDRAM FASTENERS,BSE
128103428,SUNFLAG,SUNFLAG IRON & STEEL CO.LTD.,BSE
128103684,SPLPETRO,SUPREME PETROCHEM,BSE
128104196,SWARAJENG,SWARAJ ENGINES,BSE
128104452,TATAELXSI,TATA ELXSI,BSE
128104964,ACC,ACC,BSE
128105220,THERMAX,THERMAX,BSE
128105476,TIRUMALCHM,THIRUMALAI CHEMICALS,BSE
128105732,THOMASCOOK,THOMAS COOK (INDIA),BSE
128105988,TIMEX,TIMEX GROUP INDIA,BSE
128107012,TOKYOPLAST,TOKYO PLAST INTERNATIONAL,BSE
128107524,TORNTPHARM,TORRENT PHARMACEUTICALS,BSE
128107780,TPINDIA,TPI INDIA,BSE
128108036,TRANSCHEM,TRANSCHEM,BSE
128108804,AMBUJACEM,AMBUJA CEMENTS,BSE
128109060,UTLINDS,UTL INDUSTRIES,BSE
128109828,UNIENTER,UNIPHOS ENTERPRISES,BSE
128112388,VHL,VARDHMAN HOLDINGS,BSE
128112644,HINDALCO,HINDALCO INDUSTRIES,BSE
128113668,WSTCSTPAPR,WEST COAST PAPER MILLS ,BSE
128114948,HOCL,HINDUSTAN ORGANIC CHEMICALS LT,BSE
128115204,MPILCORPL,MPIL CORPORATION,BSE
128116740,PASUPTAC,PASUPATI ACRYLON,BSE
128117252,KORE,KORE FOODS ,BSE
128117508,PGHH,PROCTER & GAMBLE HYGIENE & HEA,BSE
128117764,MUKANDLTD,MUKAND,BSE
128118532,BBOX,BLACK BOX,BSE
128118788,UCAL,UCAL,BSE
128119556,HARRMALAYA,HARRISONS MALAYALAM,BSE
128120068,FEDERALBNK,FEDERAL BANK,BSE
128120324,TATASTEEL,TATA STEEL,BSE
128120836,SKFINDIA,SKF INDIA,BSE
128122116,ASHOKLEY,ASHOK LEYLAND,BSE
128122884,CUMMINSIND,CUMMINS INDIA,BSE
128123652,TATACOMM,TATA COMMUNICATIONS,BSE
128124932,ABBOTINDIA,ABBOTT INDIA,BSE
128125444,BAJAJHLDNG,BAJAJ HOLDINGS & INVESTMENT LT,BSE
128126212,BHARATFORG,BHARAT FORGE,BSE
128126724,ESCORTS,ESCORTS KUBOTA ,BSE
128128004,HINDMOTORS,HINDUSTAN MOTORS,BSE
128130564,LT,LARSEN & TOUBRO,BSE
128133124,M&M,MAHINDRA & MAHINDRA,BSE
128135684,BOSCHLTD,BOSCH,BSE
128138244,PREMIER,PREMIER,BSE
128140036,BPCL,BHARAT PETROLEUM CORPORATION L,BSE
128140804,SIEMENS,SIEMENS,BSE
128145924,TATAMOTORS,TATA MOTORS,BSE
128147204,VOLTAS,VOLTAS,BSE
128158724,GESHIP,GREAT EASTERN SHIPPING CO.LTD.,BSE
128165124,DEEPAKFERT,DEEPAK FERTILISERS & PETROCHEM,BSE
128166404,EXCELINDUS,EXCEL INDUSTRIES,BSE
128167684,GRWRHITECH,GARWARE HI-TECH FILMS,BSE
128168964,GLAXO,GLAXOSMITHKLINE PHARMACEUTICAL,BSE
128171524,GNFC,GUJARAT NARMADA VALLEY FERTILI,BSE
